Lamp timestamp;450nm;660nm;735nm;5700K
00:00;11;279;93;189
00:15;11;279;93;189
00:30;11;279;93;189
00:45;11;279;93;189
01:00;9;233;78;158
01:15;9;233;78;158
01:30;9;233;78;158
01:45;10;235;78;159
02:00;9;229;77;156
02:15;9;229;77;155
02:30;9;228;76;155
02:45;9;228;76;155
03:00;10;255;85;173
03:15;10;255;85;173
03:30;10;255;85;173
03:45;10;255;85;173
04:00;11;270;90;183
04:15;11;270;90;183
04:30;11;270;90;183
04:45;11;270;90;183
05:00;12;290;97;197
05:15;12;290;97;197
05:30;12;290;97;197
05:45;12;290;97;197
06:00;12;297;99;201
06:15;12;297;99;201
06:30;12;294;98;200
06:45;12;294;98;200
07:00;12;288;96;195
07:15;12;288;96;195
07:30;12;288;96;195
07:45;12;288;96;195
08:00;11;283;95;192
08:15;11;283;95;192
08:30;12;307;103;208
08:45;16;391;131;265
09:00;11;266;89;180
09:15;8;209;70;142
09:30;8;206;69;140
09:45;8;206;69;140
10:00;8;208;69;141
10:15;8;208;69;141
10:30;8;207;69;140
10:45;8;207;69;140
11:00;10;252;84;171
11:15;10;252;84;171
11:30;10;252;84;171
11:45;10;252;84;171
12:00;9;220;74;149
12:15;9;220;74;149
12:30;9;220;74;149
12:45;9;220;74;149
13:00;9;232;78;157
13:15;9;232;78;157
13:30;9;232;78;157
13:45;9;232;78;157
14:00;9;235;78;159
14:15;10;235;78;159
14:30;10;240;80;162
14:45;9;235;78;159
15:00;10;238;80;162
15:15;10;242;81;164
15:30;10;249;83;169
15:45;10;238;80;162
16:00;10;242;81;164
16:15;8;192;64;130
16:30;7;164;55;111
16:45;6;156;52;106
17:00;6;136;45;92
17:15;5;130;43;88
17:30;5;129;43;88
17:45;5;129;43;88
18:00;5;123;41;83
18:15;5;123;41;83
18:30;5;123;41;83
18:45;5;123;41;83
19:00;5;121;41;82
19:15;5;121;41;82
19:30;5;121;41;82
19:45;5;121;41;82
20:00;5;130;43;88
20:15;5;130;44;88
20:30;5;135;45;92
20:45;6;143;48;97
21:00;6;151;50;102
21:15;6;158;53;107
21:30;7;174;58;118
21:45;8;187;62;126
22:00;7;181;61;123
22:15;8;188;63;127
22:30;9;217;72;147
22:45;9;226;76;153
23:00;9;228;76;155
23:15;10;236;79;160
23:30;10;237;79;161
23:45;10;237;79;161
00:00;17;427;143;289
00:15;17;427;143;289
00:30;17;430;144;292
00:45;17;430;144;292
01:00;18;458;153;310
01:15;18;458;153;310
01:30;18;458;153;310
01:45;18;458;153;310
02:00;19;472;158;320
02:15;19;472;158;320
02:30;19;472;158;320
02:45;19;472;158;320
03:00;19;462;155;313
